,date_time,y,co_gt,nhmc,c6h6,s2,nox,s3,no2,s4,s5,t,rh,ah,y_later,level_High,level_Low,level_Moderate,level_Very High,level_Very low
0,2004-03-10 18:00:00,1360,2.6,150.0,11.9,898.9579684763572,166.0,1056.0,113.0,1692.0,970.772109267806,13.6,48.9,0.7578,1185.0,1,0,0,0,0
1,2004-03-10 19:00:00,1292,2.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,1136.0,1,0,0,0,0
2,2004-03-10 20:00:00,1402,2.2,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,37.998232861260654,0.7502,1094.0,1,0,0,0,0
3,2004-03-10 21:00:00,1376,2.2,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,1010.0,1,0,0,0,0
4,2004-03-10 22:00:00,1272,1.6,51.0,6.5,836.0,131.0,1205.0,116.0,1414.6464281261688,1110.0,9.907557557557608,59.6,0.7888,1011.0,1,0,0,0,0
5,2004-03-10 23:00:00,1197,1.2,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,1066.0,1,0,0,0,0
6,2004-03-11 00:00:00,1185,1.2,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,1052.0,1,0,0,0,0
7,2004-03-11 01:00:00,1136,-37.6561324303989,31.0,3.3,672.0,156.41814768460577,1453.0,76.0,1333.0,730.0,10.7,60.0,-7.799153128911129,1144.0,0,0,1,0,0
8,2004-03-11 02:00:00,1094,0.9,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,1333.0,0,1,0,0,0
9,2004-03-11 03:00:00,1010,0.6,19.0,1.7,561.0,-200.0,1705.0,-200.0,1235.0,501.0,10.3,60.2,0.7517,1351.0,0,1,0,0,0
10,2004-03-11 04:00:00,1011,-200.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,9.907557557557608,60.5,0.7465,1233.0,0,0,0,0,1
11,2004-03-11 05:00:00,1066,0.7,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,1179.0,0,1,0,0,0
12,2004-03-11 06:00:00,1052,0.7,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,-7.799153128911129,1236.0,0,1,0,0,0
13,2004-03-11 07:00:00,1144,1.1,29.0,1.129901287017372,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,1286.0,1,0,0,0,0
14,2004-03-11 08:00:00,1333,2.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,1371.0,1,0,0,0,0
15,2004-03-11 09:00:00,1351,2.2,87.0,1.129901287017372,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,1310.0,1,0,0,0,0
16,2004-03-11 10:00:00,1233,1.7,77.0,6.3,898.9579684763572,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,1292.0,1,0,0,0,0
17,2004-03-11 11:00:00,1179,1.5,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,9.907557557557608,57.9,0.7352,1383.0,1,0,0,0,0
18,2004-03-11 12:00:00,1236,1.6,61.0,5.2,774.0,156.41814768460577,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,1581.0,1,0,0,0,0
19,2004-03-11 13:00:00,1286,1.9,63.0,7.3,869.0,146.0,801.8594824353044,112.0,1537.0,799.0,8.3,76.4,0.8393,1776.0,1,0,0,0,0
20,2004-03-11 14:00:00,1371,2.9,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,1640.0,1,0,0,0,0
21,2004-03-11 15:00:00,1310,2.2,79.0,8.8,933.0,184.0,1082.0,126.0,1414.6464281261688,946.0,8.3,79.8,0.8778,1313.0,1,0,0,0,0
